Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Plaza Wires,https://scanx.trade/company/plaza-wires-ltd,41.83,0.24%,42.2,"34,179",183.01,50.34,22.62,80.5,38.11,-3.60%,-25.13%,-46.98%,-47.84%,-47.84%,1.48,-,14.15%,5.42%,0.84,43.76,53.72,50.84,50.00%,-
Incredible Industries,https://scanx.trade/company/incredible-ltd,39.13,-1.21%,40.99,"1,943",182.99,13.49,25.38,55.15,28.5,-4.16%,-15.17%,-18.17%,81.16%,63.38%,1.26,-,-,11.10%,-,42.26,40.97,41.61,-,-
Purv Flexipack,https://scanx.trade/company/purv-flexipack-ltd,87.2,1.40%,85,"24,800",182.97,12.08,41.17,190,69,-1.30%,-23.51%,-48.30%,-64.70%,-64.70%,1.31,-,-,14.99%,-,92.81,91.03,39.38,-,-
One Click Logistics,https://scanx.trade/company/one-click-logistics-ltd,325.8,-1.17%,318,"6,800",182.23,86.98,41.09,355,97,1.81%,18.52%,189.73%,144.96%,144.96%,3.89,-,-,21.01%,-,307.47,230.01,57.18,-,-
GP Petroleums,https://scanx.trade/company/gp-petroleums-ltd,35.68,-0.64%,35.64,"33,822",181.91,6.71,205.33,58.65,32.91,-1.16%,-12.87%,-34.76%,-15.45%,-23.27%,0.53,-,9.12%,10.85%,5.74,37.75,41.06,42.89,50.00%,-
Jainik Power Cables,https://scanx.trade/company/jainik-power-cables-ltd,126.75,-3.61%,127,"1,02,000",181.86,20.42,48.83,153.1,60.6,-10.61%,-5.45%,52.99%,52.99%,52.99%,2.49,-,-,55.92%,-,131.8,-,44.47,-,-
Lancor Holdings,https://scanx.trade/company/lancor-holdings-ltd,24.67,-1.32%,25,"19,451",181.45,-42.33,-2.85,36.25,19.01,-11.00%,4.84%,-28.41%,-52.33%,-52.33%,0.97,0.77%,-,10.44%,-,26.05,23.6,44.45,-,-
Aspinwall & Co,https://scanx.trade/company/aspinwall-co-ltd,231.91,0.45%,227.5,"1,199",181.31,27.32,41.09,345.9,214,-7.77%,-15.05%,-22.16%,0.05%,42.19%,0.97,2.82%,5.83%,10.13%,16.41,248.24,266.46,45.26,-,-
Kay Cee Energy & Infra,https://scanx.trade/company/kay-cee-energy-infra-ltd,148.25,-2.44%,151,"12,000",181.22,10.88,-2.85,408.35,135.35,-16.85%,-30.84%,-59.29%,-38.07%,-38.07%,2.14,-,-,34.43%,-,184.39,247.12,36.04,-,-
Winsol Engineers,https://scanx.trade/company/winsol-engineers-ltd,156.35,-1.23%,163.3,"8,000",180.35,15.49,14.23,320,151.05,-7.70%,-16.99%,-44.24%,-59.20%,-59.20%,3.69,-,-,31.94%,-,173.53,195.55,37.05,-,-
