Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Reliance Industries,https://scanx.trade/company/reliance-industries-ltd,"1,559.20",0.06%,"1,554.70","23,11,495","21,09,983.13",21.64,12.6,"1,581.30","1,114.85",1.52%,12.74%,27.52%,36.09%,72.25%,2.4,0.35%,8.54%,8.71%,101.61,"1,516.20","1,415.52",58.08,78.00%,91.00%
HDFC Bank,https://scanx.trade/company/hdfc-bank-ltd,992.1,-0.51%,996,"93,60,853","15,23,900.12",20.43,9.52,"1,020.50",812.15,-0.71%,4.32%,10.35%,21.77%,42.02%,2.85,1.10%,13.93%,6.38%,89.49,995.49,969.53,48.88,78.00%,91.00%
Bharti Airtel,https://scanx.trade/company/bharti-airtel-ltd,"2,105.40",-0.86%,"2,123.00","12,97,870","12,00,521.25",27.1,51.73,"2,174.50","1,559.50",-2.17%,9.03%,32.93%,159.61%,314.64%,10.28,0.73%,8.11%,18.01%,21.42,"2,086.49","1,920.62",51.65,78.00%,91.00%
Tata Consultancy Services,https://scanx.trade/company/tcs-tata-consultancy-services-ltd,"3,280.00",-1.18%,"3,313.10","11,76,664","11,86,732.71",24.18,33.59,"4,322.95","2,866.60",4.42%,8.06%,-21.52%,0.83%,12.74%,11.36,3.80%,50.48%,62.02%,131.54,"3,130.45","3,254.22",61.57,78.00%,91.00%
ICICI Bank,https://scanx.trade/company/icici-bank-ltd,"1,350.40",-0.69%,"1,356.50","28,12,144","9,64,614.49",17.06,9.52,"1,500.00","1,186.00",-1.32%,-2.34%,4.10%,51.19%,162.95%,2.95,0.81%,16.67%,6.13%,64.38,"1,371.00","1,394.91",41.66,78.00%,91.00%
State Bank of India,https://scanx.trade/company/state-bank-of-india-ltd,966.3,-0.27%,968.95,"32,86,321","8,91,954.58",10.67,9.74,999,680,-0.44%,11.56%,19.00%,61.83%,262.11%,1.65,1.59%,15.83%,5.57%,81.94,953.88,841.65,51.64,78.00%,91.00%
Infosys,https://scanx.trade/company/infosys-ltd,"1,656.10",-0.44%,"1,663.40","20,06,491","6,88,008.89",23.94,33.59,"1,982.80","1,307.00",6.98%,10.81%,-13.25%,10.23%,33.98%,7.1,2.65%,29.67%,35.85%,64.2,"1,548.70","1,538.75",64.41,78.00%,90.64%
Bajaj Finance,https://scanx.trade/company/bajaj-finance-ltd,"1,000.00",-1.16%,"1,011.70","52,11,460","6,22,248.19",34.01,-3.94,"1,102.50",679.2,0.60%,-2.89%,46.88%,55.43%,92.87%,6.12,0.55%,18.84%,10.98%,241.14,"1,032.23",947.69,43.64,76.00%,89.70%
Larsen & Toubro,https://scanx.trade/company/lt-larsen-toubro-ltd,"4,047.30",-0.16%,"4,052.00","5,94,330","5,56,728.78",29.15,14.23,"4,140.00","2,965.30",0.85%,10.17%,11.20%,93.55%,220.65%,5.5,0.84%,15.18%,18.71%,96.6,"3,991.12","3,643.37",53.85,76.00%,91.00%
LIC of India,https://scanx.trade/company/lic-of-india-ltd,849.75,-0.49%,850.1,"7,03,658","5,37,466.68",10.57,-3.94,980,715.3,-5.06%,-4.98%,-4.59%,23.51%,-2.91%,3.81,1.41%,49.36%,0.87%,66.13,886.12,875.58,37.25,76.00%,87.50%
Hindustan Unilever,https://scanx.trade/company/hindustan-unilever-ltd,"2,285.40",0.14%,"2,282.30","5,33,626","5,36,975.59",49.09,47.58,"2,705.09","2,101.12",-4.16%,-8.87%,-0.52%,-11.24%,-3.28%,11.01,2.32%,19.99%,23.38%,43.99,"2,388.20","2,381.84",39.13,78.00%,91.00%
Maruti Suzuki,https://scanx.trade/company/maruti-suzuki-ltd,"16,596.00",-0.64%,"16,703.00","2,12,925","5,21,782.51",35.54,39.55,"16,720.00","10,725.00",4.00%,2.14%,54.57%,101.00%,122.88%,5.27,0.81%,15.75%,19.54%,467.71,"16,104.66","13,850.45",60.22,78.00%,91.00%
ITC,https://scanx.trade/company/itc-ltd,404.15,-0.60%,406.5,"31,52,453","5,06,265.08",14.41,19.17,471.5,390.15,0.15%,0.79%,-10.71%,27.68%,104.80%,7.17,3.52%,27.71%,36.57%,16.36,406.74,413.16,50.71,78.00%,91.00%
HCL Technologies,https://scanx.trade/company/hcl-technologies-ltd,"1,660.90",-0.82%,"1,668.00","9,21,138","4,50,712.64",26.76,33.59,"2,012.20","1,302.75",3.14%,15.16%,-12.44%,60.99%,80.66%,6.38,3.58%,23.01%,30.84%,60.53,"1,600.68","1,563.55",55,76.00%,90.86%
Mahindra & Mahindra,https://scanx.trade/company/mahindra-mahindra-ltd,"3,623.10",-0.37%,"3,636.70","8,29,910","4,50,542.93",29.17,39.55,"3,795.00","2,425.00",-1.83%,1.35%,23.71%,192.88%,409.65%,5.46,0.67%,15.83%,15.04%,88.8,"3,646.37","3,252.69",47.13,76.00%,89.50%
Kotak Bank,https://scanx.trade/company/kotak-mahindra-bank-ltd,"2,164.20",0.02%,"2,162.00","7,38,349","4,30,371.19",23.18,9.52,"2,301.90","1,723.75",3.68%,6.54%,23.74%,19.34%,10.38%,2.56,0.12%,13.83%,6.51%,93.78,"2,136.83","2,095.33",56.91,78.00%,91.00%
Sun Pharmaceutical,https://scanx.trade/company/sun-pharmaceutical-ltd,"1,719.50",-1.01%,"1,737.00","25,07,337","4,12,565.65",39.76,17.31,"1,910.00","1,548.00",-3.44%,5.68%,-5.47%,71.94%,191.22%,5.36,0.92%,14.38%,18.92%,43.95,"1,747.48","1,694.96",38.51,78.00%,91.00%
Axis Bank,https://scanx.trade/company/axis-bank-ltd,"1,228.20",0.15%,"1,225.00","16,65,983","3,81,071.13",14.57,9.52,"1,304.00",933.5,-3.22%,5.98%,13.84%,32.25%,101.28%,1.92,0.08%,16.77%,6.50%,86.46,"1,247.71","1,162.74",41.51,78.00%,91.00%
Titan,https://scanx.trade/company/titan-ltd,"3,992.00",2.12%,"3,908.90","11,13,050","3,54,404.24",84.04,15.55,"3,961.90","2,925.00",3.04%,16.78%,19.04%,60.90%,166.86%,27.1,0.28%,37.22%,36.95%,38.91,"3,827.50","3,529.42",66.68,78.00%,91.00%
UltraTech Cement,https://scanx.trade/company/ultratech-cement-ltd,"11,794.00",0.26%,"11,766.00","1,93,121","3,47,544.61",47.49,30.98,"13,097.00","10,047.85",1.81%,-3.44%,3.54%,66.72%,133.79%,4.81,0.66%,11.62%,9.06%,243.84,"11,788.58","11,873.29",56.48,78.00%,91.00%
Bajaj Finserv,https://scanx.trade/company/bajaj-finserv-ltd,"2,017.60",-0.89%,"2,035.70","17,55,050","3,22,374.80",16.9,-3.94,"2,195.00","1,551.65",-0.65%,-2.49%,28.96%,31.44%,124.36%,4.25,0.05%,15.03%,10.65%,52.25,"2,076.81","2,009.67",41.56,76.00%,90.79%
Adani Ports & SEZ,https://scanx.trade/company/adani-ports-sez-ltd,"1,487.10",-0.48%,"1,499.60","8,76,540","3,21,234.26",26.97,41.09,"1,549.00","1,010.75",0.08%,3.88%,25.79%,84.49%,210.75%,4.81,0.47%,15.69%,13.60%,46.34,"1,482.89","1,376.60",47.54,75.01%,80.00%
NTPC,https://scanx.trade/company/ntpc-ltd,324.1,0.48%,322.55,"41,74,183","3,14,268.95",12.82,9.9,371.45,292.8,0.20%,-6.76%,-3.34%,95.65%,224.26%,1.63,2.59%,12.31%,9.85%,22.08,328.92,337.42,49.85,76.00%,91.00%
Oil & Natural Gas Corporation,https://scanx.trade/company/oil-natural-gas-corporation-ltd,234.53,0.33%,233.84,"37,10,774","2,95,045.29",6.87,-127.61,273.5,205,-4.57%,-1.67%,-1.85%,65.98%,151.78%,0.8,5.24%,15.64%,11.31%,36.35,245.17,241.45,38.89,76.00%,90.24%
Hindustan Aeronautics,https://scanx.trade/company/hal-hindustan-aeronautics-ltd,"4,409.20",-0.27%,"4,445.00","6,90,425","2,94,876.27",34.9,38.24,"5,165.00","3,046.05",-0.81%,-6.66%,4.58%,248.95%,972.46%,7.96,0.90%,26.15%,17.49%,113.89,"4,578.57","4,570.06",48.08,74.66%,87.50%
Bharat Electronics,https://scanx.trade/company/bharat-electronics-ltd,398.45,-0.39%,403,"1,32,84,184","2,91,258.14",51.35,30.78,436,240.25,-1.32%,0.76%,36.25%,301.46%,940.34%,13.56,0.60%,24.13%,33.72%,5.8,408.87,376.02,48.58,75.80%,87.50%
Wipro,https://scanx.trade/company/wipro-ltd,266.3,-0.66%,267.2,"28,99,112","2,79,180.58",20.75,33.59,324.6,228,7.70%,8.88%,-12.77%,39.97%,39.35%,3.29,2.23%,14.88%,18.97%,21.37,250.38,252.57,62.87,76.00%,90.40%
Adani Power,https://scanx.trade/company/adani-power-ltd,142.19,-0.68%,143.15,"76,82,604","2,74,209.07",23.51,9.9,182.7,89,-2.23%,-1.60%,43.34%,158.25%,1384.24%,4.72,-,48.28%,20.42%,41.44,151.09,125.88,42.95,60.00%,81.34%
Eternal,https://scanx.trade/company/zomato-ltd,281.75,-1.09%,281.8,"1,57,44,495","2,71,898.63","1,498.95",41.09,368.45,194.8,-6.40%,-16.10%,2.51%,384.52%,123.61%,8.9,-,1.72%,2.63%,0.68,306.89,278.95,36.46,72.84%,85.39%
Hindustan Zinc,https://scanx.trade/company/hindustan-zinc-ltd,636.85,1.92%,645,"1,34,59,241","2,69,089.44",24.99,-97.82,631.9,378.15,40.28%,40.62%,37.43%,102.79%,163.54%,19.28,4.64%,51.06%,62.89%,19.26,506.85,462.1,85.42,58.00%,85.53%
JSW Steel,https://scanx.trade/company/jsw-steel-ltd,"1,094.40",0.28%,"1,092.10","13,17,269","2,67,630.48",43.94,22.81,"1,223.90",880,-1.05%,-4.76%,18.72%,49.47%,198.81%,3.22,0.32%,11.25%,7.49%,28.47,"1,146.35","1,068.48",41.83,76.00%,90.52%
Asian Paints,https://scanx.trade/company/asian-paints-ltd,"2,746.50",-1.40%,"2,785.00","5,32,078","2,63,443.67",67.4,44.43,"2,985.70","2,124.75",-4.61%,11.77%,20.25%,-10.13%,3.71%,13.65,0.89%,28.61%,23.98%,52.96,"2,732.83","2,469.80",42.36,78.00%,91.00%
Adani Enterprises,https://scanx.trade/company/adani-enterprises-ltd,"2,229.90",0.32%,"2,229.30","5,66,237","2,57,370.76",29.7,41.17,"2,612.78","1,964.72",-7.06%,-12.20%,-3.05%,-38.12%,385.61%,4.74,0.06%,7.45%,10.92%,37.44,"2,338.21","2,357.59",42.69,71.37%,80.00%
Bajaj Auto,https://scanx.trade/company/bajaj-auto-ltd,"9,064.50",-1.15%,"9,182.50","1,05,815","2,53,133.06",30.75,12.06,"9,490.00","7,089.35",0.63%,2.55%,3.26%,155.18%,168.60%,7.5,2.29%,26.61%,24.90%,286.76,"8,991.27","8,531.90",52.37,76.00%,90.75%
Coal India,https://scanx.trade/company/coal-india-ltd,402.15,-0.05%,403.8,"54,35,637","2,47,834.12",7.98,-97.82,417.25,349.25,7.95%,2.37%,4.59%,82.17%,195.16%,2.35,6.58%,44.71%,24.48%,59.34,384.13,388.01,72.39,76.00%,91.00%
Power Grid Corporation of India,https://scanx.trade/company/power-grid-corporation-of-india-ltd,265.45,-0.97%,268,"60,29,003","2,46,884.53",16.41,9.9,322,247.3,-3.75%,-9.50%,-14.40%,67.07%,148.36%,2.52,3.36%,18.53%,12.27%,16.88,274.39,286.93,45.44,76.00%,90.93%
Avenue Supermarts DMart,https://scanx.trade/company/dmart-avenue-supermarts-ltd,"3,787.40",-0.34%,"3,805.00","2,45,539","2,46,458.64",90.52,41.17,"4,949.50","3,340.00",-5.02%,-18.48%,9.47%,-6.17%,41.69%,10.8,-,13.56%,16.93%,40.74,"4,021.98","4,183.05",35.74,76.00%,87.50%
Nestle,https://scanx.trade/company/nestle-india-ltd,"1,272.60",1.02%,"1,264.00","14,33,973","2,45,397.28",82.28,51.68,"1,311.60","1,055.00",0.27%,7.98%,17.47%,27.91%,37.09%,54.74,1.07%,117.72%,59.30%,33.58,"1,260.15","1,195.71",62.09,78.00%,91.00%
Vedanta,https://scanx.trade/company/vedanta-ltd,600.95,0.47%,603.7,"1,21,19,491","2,34,994.77",13.16,-97.82,599.8,363,21.37%,34.01%,30.05%,102.96%,269.02%,5.83,7.27%,17.92%,28.36%,13.95,523.27,462.59,80.31,75.86%,87.50%
Indian Oil Corporation,https://scanx.trade/company/indian-oil-corporation-ltd,160.3,-0.54%,161.1,"77,62,050","2,26,363.45",8.92,12.6,174.5,110.72,-3.25%,9.22%,15.93%,115.46%,166.41%,1.15,1.82%,22.94%,9.53%,21.83,163.62,147.07,42,76.00%,87.50%
Tata Steel,https://scanx.trade/company/tata-steel-ltd,169.12,-0.56%,169.89,"1,69,04,834","2,11,121.41",31.72,22.81,186.94,122.62,2.27%,-2.05%,20.47%,61.07%,171.77%,2.27,2.12%,-5.31%,8.15%,1.6,172.48,161.15,48.97,76.00%,89.35%
SBI Life Insurance,https://scanx.trade/company/sbi-life-insurance-ltd,"2,019.10",-0.31%,"2,025.40","1,80,039","2,02,409.77",82.75,-3.94,"2,086.60","1,372.55",0.21%,11.12%,45.57%,62.40%,131.04%,11.09,0.13%,12.70%,0.56%,20.29,"1,976.84","1,801.50",55.17,78.00%,91.00%
Eicher Motors,https://scanx.trade/company/eicher-motors-ltd,"7,324.00",0.16%,"7,300.00","1,57,706","2,00,881.20",39.27,52.11,"7,349.50","4,646.00",0.90%,4.46%,52.81%,131.68%,200.56%,9.08,0.96%,22.17%,26.14%,152.7,"7,044.59","6,090.75",62.17,78.00%,91.00%
Hindalco Industries,https://scanx.trade/company/hindalco-industries-ltd,872.9,0.98%,865.25,"23,34,952","1,96,160.40",10.93,48.83,882.3,546.45,12.68%,17.79%,39.12%,97.07%,268.39%,1.44,0.57%,9.57%,12.85%,48.78,817.34,716.07,69.15,76.00%,89.33%
Interglobe Aviation,https://scanx.trade/company/indigo-interglobe-aviation-ltd,"5,074.00",-0.15%,"5,081.50","5,85,777","1,96,142.49",38.42,5.5,"6,232.50","3,945.00",-12.60%,-10.76%,10.01%,159.10%,208.68%,22.74,0.20%,409.35%,15.53%,202.26,"5,552.64","5,535.38",38.14,76.00%,80.00%
Grasim Industries,https://scanx.trade/company/grasim-industries-ltd,"2,817.70",-0.33%,"2,828.00","5,06,240","1,91,749.28",21.44,5.34,"2,977.80","2,276.95",4.80%,0.37%,12.62%,63.61%,215.32%,1.93,0.35%,7.14%,5.94%,85.43,"2,798.42","2,732.26",57.2,78.00%,91.00%
Jio Financial Services,https://scanx.trade/company/jio-financial-services-ltd,296.95,-0.65%,298,"39,45,249","1,88,656.54",116.28,-3.94,338.6,198.65,-0.97%,-3.19%,-2.54%,19.30%,19.30%,1.41,0.17%,1.15%,1.49%,2.5,303.65,291.61,45.57,75.00%,87.50%
Hyundai Motor India,https://scanx.trade/company/hyundai-motor-india-ltd,"2,321.10",0.57%,"2,305.00","3,73,276","1,88,598.91",32.83,39.55,"2,890.00","1,541.70",0.72%,-15.77%,31.49%,27.56%,27.56%,10.69,0.91%,-,40.99%,-,"2,341.06","2,133.19",48.78,65.00%,87.50%
Shriram Finance,https://scanx.trade/company/shriram-transport-finance-company-ltd,960.25,-1.38%,976.55,"47,39,099","1,80,623.78",18.56,-3.94,983.7,493.35,15.94%,53.60%,66.54%,255.35%,381.76%,3.02,1.02%,14.88%,10.65%,201.17,814.86,687.73,76.4,75.03%,86.81%
LTI Mindtree,https://scanx.trade/company/lti-larsen-toubro-infotech-ltd,"6,035.50",-2.07%,"6,160.00","1,13,668","1,78,902.34",37.65,33.59,"6,380.00","3,802.00",1.92%,15.91%,5.41%,38.78%,66.47%,7.81,1.05%,22.89%,26.33%,154.11,"5,926.04","5,237.17",44.61,76.00%,87.50%
IRFC,https://scanx.trade/company/indian-railway-finance-corp-ltd,133.64,10.00%,122.14,"16,39,85,127","1,74,647.51",23.22,-174.35,158,108.04,14.32%,6.41%,-9.62%,340.33%,438.87%,2.82,1.32%,13.04%,5.81%,4.93,119.41,127.31,78.29,72.21%,85.93%
TVS Motors,https://scanx.trade/company/tvs-motors-ltd,"3,634.10",-0.85%,"3,664.90","2,23,878","1,72,651.41",62.59,52.11,"3,734.90","2,171.40",5.60%,5.24%,49.73%,257.85%,657.50%,21.46,0.27%,23.68%,22.61%,36.05,"3,565.01","3,068.75",53.21,76.00%,87.50%
DLF,https://scanx.trade/company/dlf-ltd,695,0.01%,692.85,"12,26,524","1,72,034.40",40.14,-2.85,886.8,601.2,-3.16%,-5.27%,-17.43%,87.46%,207.39%,4,0.86%,4.13%,5.62%,11.5,734.43,748.41,41.68,76.00%,87.50%
Divis Laboratories,https://scanx.trade/company/divis-laboratories-ltd,"6,427.50",-1.06%,"6,495.00","2,52,704","1,70,629.93",69.39,41.25,"7,071.50","4,955.00",1.08%,7.41%,11.16%,87.46%,71.42%,11.19,0.46%,11.79%,18.85%,63.06,"6,505.40","6,285.48",49.65,76.00%,87.50%
Adani Green Energy,https://scanx.trade/company/adani-green-energy-ltd,"1,018.10",0.31%,"1,015.00","8,34,022","1,65,196.52",71.86,9.9,"1,177.55",758,0.86%,-7.04%,-1.26%,-45.75%,-1.75%,8.56,-,7.22%,8.15%,8.71,"1,042.53",989.65,46.99,68.03%,80.00%
Varun Beverages,https://scanx.trade/company/varun-beverages-ltd,482.85,1.09%,476,"57,93,445","1,63,298.00",53.92,18.01,663.6,419.55,8.24%,6.68%,-23.03%,78.48%,491.80%,8.8,0.21%,29.67%,20.86%,18.65,468.46,485.45,57.04,75.00%,87.43%
HDFC Life Insurance,https://scanx.trade/company/hdfc-life-insurance-ltd,748.45,-0.91%,753,"16,55,497","1,61,324.47",86.05,-3.94,820.75,584.3,-1.73%,-2.83%,20.23%,31.47%,13.88%,9.6,0.28%,10.73%,0.60%,7.61,758.68,748.14,41.79,78.00%,91.00%
Bharat Petroleum,https://scanx.trade/company/bharat-petroleum-ltd,366,0.03%,365.45,"29,97,958","1,58,789.30",7.47,12.6,381.55,234.01,1.77%,10.79%,25.34%,125.16%,93.88%,1.69,2.69%,35.51%,17.05%,44.92,359.1,325.59,54.05,76.00%,87.50%
Tech Mahindra,https://scanx.trade/company/tech-mahindra-ltd,"1,612.30",-1.18%,"1,630.50","4,61,192","1,57,934.83",35.82,33.59,"1,773.60","1,209.40",7.87%,11.01%,-5.43%,61.07%,70.21%,5.8,2.76%,8.83%,18.78%,25.74,"1,500.25","1,509.20",64.11,76.00%,90.66%
Muthoot Finance,https://scanx.trade/company/muthoot-finance-ltd,"3,797.00",-0.20%,"3,824.00","2,18,879","1,52,437.58",21.16,-3.94,"3,890.00","1,965.00",5.05%,22.95%,86.58%,256.69%,219.63%,4.66,0.68%,16.57%,13.76%,111.25,"3,551.03","2,791.76",59.5,76.00%,87.50%
Trent,https://scanx.trade/company/trent-ltd,"4,285.30",-0.10%,"4,290.00","10,29,780","1,52,337.04",94.93,41.17,"7,493.05","3,930.10",-0.59%,-12.49%,-38.84%,215.68%,525.82%,24.99,0.12%,36.01%,29.27%,35.43,"4,390.74","5,087.96",55.08,72.77%,85.80%
Tata Motors,https://scanx.trade/company/tata-motors-ltd,408.65,-0.02%,410,"90,30,231","1,50,478.47",35.34,777.5,432.3,306.3,27.46%,24.04%,24.04%,24.04%,24.04%,14.29,-,-,-362.96%,-,-,-,68.23,-,80.00%
Bank of Baroda,https://scanx.trade/company/bank-of-baroda-ltd,288.2,-0.81%,289.2,"34,81,149","1,49,038.66",7.74,9.74,303.95,190.7,2.23%,13.30%,17.66%,62.73%,373.62%,0.95,2.88%,15.25%,5.69%,36.82,284.05,250.55,51.28,76.00%,87.50%
Pidilite Industries,https://scanx.trade/company/pidilite-industries-ltd,"1,458.60",0.83%,"1,446.60","2,40,983","1,48,443.77",65.53,205.33,"1,574.95","1,311.10",-0.30%,-4.01%,-1.77%,16.06%,68.44%,15.41,0.69%,20.28%,26.80%,36.93,"1,476.83","1,491.67",46.56,78.00%,87.50%
Britannia Industries,https://scanx.trade/company/britannia-industries-ltd,"6,032.50",0.04%,"6,006.50","65,992","1,45,303.80",62.65,51.68,"6,336.00","4,506.00",3.73%,1.04%,27.16%,37.87%,66.72%,38.87,1.24%,53.81%,58.72%,91.68,"5,933.85","5,650.89",55.76,78.00%,87.50%
Tata Capital,https://scanx.trade/company/tata-capital-ltd,338.55,-1.38%,343.3,"30,34,410","1,43,710.04",34.62,-3.94,355,315.1,6.11%,2.44%,2.44%,2.44%,2.44%,3.38,0.11%,-,9.08%,-,326.31,-,62.57,-,75.00%
Cholamandalam Investment,https://scanx.trade/company/cholamandalam-investment-ltd,"1,698.00",0.01%,"1,697.80","13,09,836","1,42,869.56",30.83,-3.94,"1,782.00","1,168.00",2.80%,4.16%,43.24%,138.92%,351.18%,5.46,0.12%,17.41%,9.61%,43.53,"1,701.42","1,580.87",50.9,75.93%,87.39%
Punjab National Bank,https://scanx.trade/company/punjab-national-bank-ltd,120.37,-0.46%,120.77,"83,39,634","1,38,340.56",8.12,9.74,127.8,85.46,-1.13%,8.43%,18.43%,124.99%,282.73%,1.04,2.40%,8.25%,5.75%,10.66,120.66,108.21,50.83,76.00%,87.50%
Ambuja Cements,https://scanx.trade/company/ambuja-cements-ltd,554.65,1.20%,549.9,"19,19,198","1,37,099.69",18.77,30.98,624.95,455,1.85%,-4.81%,2.13%,7.88%,124.83%,2.41,0.36%,9.32%,9.15%,12.66,552.53,559.7,57.16,76.00%,87.50%
Canara Bank,https://scanx.trade/company/canara-bank-ltd,150.07,0.27%,149.8,"1,24,22,858","1,36,123.26",7.76,9.74,154.21,78.6,2.32%,22.10%,49.25%,146.34%,521.41%,1.25,2.67%,15.87%,6.11%,17.21,142.56,115.55,58.34,76.00%,87.50%
Tata Motors Passenger Vehicles,https://scanx.trade/company/tata-motors-passenger-vehicles-ltd,358.8,-0.11%,359.2,"85,89,856","1,32,128.91",1.4,39.55,490.35,324.33,0.14%,-13.22%,-19.48%,54.02%,236.87%,1.19,1.67%,34.17%,18.34%,102.18,376.4,403.65,48.33,76.00%,88.82%
ICICI Prudential Asset Management,https://scanx.trade/company/icici-prudential-asset-management-company-ltd,"2,629.80",-0.41%,"2,640.00","6,89,912","1,29,980.11",49.21,-3.94,"2,665.00","2,530.00",1.70%,1.70%,1.70%,1.70%,1.70%,1.8,1.65%,-,98.60%,-,-,-,-,-,-
Vodafone Idea,https://scanx.trade/company/vodafone-idea-ltd,11.94,-0.67%,12,"51,69,16,600","1,29,361.58",-5.03,51.73,12.22,6.12,19.64%,39.00%,60.05%,52.10%,18.22%,-1.58,-,29.99%,-1.99%,-,10.26,8.04,66.92,65.99%,76.77%
Torrent Pharmaceuticals,https://scanx.trade/company/torrent-pharmaceuticals-ltd,"3,816.60",-0.46%,"3,833.00","38,231","1,29,171.09",60.64,25.01,"3,882.20","2,886.45",2.64%,5.59%,12.27%,143.15%,174.05%,15.36,0.16%,24.16%,28.48%,49.44,"3,713.33","3,461.09",59.81,78.00%,87.50%
Samvardhana Motherson International,https://scanx.trade/company/motherson-sumi-systems-ltd,119.29,-0.20%,119.53,"1,29,38,540","1,25,903.95",35.58,176.6,122.8,71.5,9.22%,10.49%,13.82%,149.56%,109.83%,3.4,0.47%,10.70%,14.07%,4.75,111.94,100.57,58.02,75.72%,87.13%
Bajaj Holdings & Investments,https://scanx.trade/company/bajaj-holdings-and-investments-ltd,"11,155.00",-0.61%,"11,199.00","14,887","1,24,147.91",14.35,-3.94,"14,763.00","10,245.10",-2.77%,-15.51%,0.96%,92.78%,262.99%,1.84,0.83%,11.70%,8.98%,670.52,"11,823.88","12,696.07",44.35,68.52%,86.78%
Godrej Consumer Products,https://scanx.trade/company/godrej-consumer-products-ltd,"1,206.20",1.17%,"1,191.80","5,10,416","1,23,403.23",66.92,84.95,"1,309.00",979.5,8.53%,1.70%,11.91%,36.60%,67.30%,10.03,2.10%,-4.45%,23.72%,17.15,"1,143.35","1,191.56",69.16,76.00%,87.50%
Adani Energy Solutions,https://scanx.trade/company/adani-transmission-ltd,"1,015.30",1.88%,996.1,"8,94,166","1,21,966.23",49.15,9.9,"1,050.00",639.45,4.65%,14.21%,31.63%,13.42%,13.42%,5.12,-,8.73%,6.77%,12.54,980.2,884.7,58.76,68.33%,80.00%
Cipla,https://scanx.trade/company/cipla-ltd,"1,506.00",0.65%,"1,496.30","9,51,555","1,21,647.76",22.24,17.31,"1,673.00","1,335.00",0.13%,-2.08%,2.05%,37.35%,80.75%,3.67,1.07%,15.50%,21.57%,55.04,"1,529.65","1,515.18",47.65,78.00%,91.00%
Tata Power,https://scanx.trade/company/tata-power-ltd,379.55,-0.04%,378.9,"24,59,099","1,21,279.11",24.27,9.9,416.8,326.35,-0.78%,-2.75%,-4.97%,86.83%,409.46%,3.22,0.59%,11.17%,9.90%,11.48,389.65,388.66,44.26,76.00%,87.50%
Cummins,https://scanx.trade/company/cummins-india-ltd,"4,346.40",-1.61%,"4,400.60","3,88,141","1,20,482.21",52.82,60.02,"4,615.00","2,580.00",1.10%,8.96%,28.70%,214.74%,656.49%,15.48,1.17%,26.02%,32.98%,66.04,"4,354.59","3,631.70",43.74,76.00%,87.50%
Power Finance Corporation,https://scanx.trade/company/power-finance-corporation-ltd,354.6,0.65%,352.3,"40,86,038","1,17,021.61",3.53,-174.35,474.85,329.9,-2.22%,-13.66%,-21.41%,225.20%,288.30%,0.92,4.49%,19.70%,9.24%,62.81,370.12,399.46,50.71,72.83%,86.41%
Tata Consumer Products,https://scanx.trade/company/tata-consumer-products-ltd,"1,175.70",-0.30%,"1,173.60","3,22,741","1,16,340.42",85.09,-10.22,"1,202.80",893.1,-0.87%,3.12%,29.58%,53.53%,98.06%,5.73,0.70%,7.46%,7.91%,13.53,"1,165.93","1,107.03",54.05,78.00%,91.00%
Union Bank of India,https://scanx.trade/company/union-bank-of-india-ltd,150.22,-0.36%,150.79,"26,56,436","1,14,672.02",6.22,9.74,160.15,100.81,-0.51%,7.94%,27.13%,87.19%,402.41%,0.96,3.15%,14.05%,6.23%,18.56,150.19,138.5,46.24,73.93%,86.64%
Polycab,https://scanx.trade/company/polycab-india-ltd,"7,556.50",-0.97%,"7,610.00","1,34,764","1,13,747.95",46.09,22.62,"7,903.00","4,555.00",1.74%,0.32%,6.55%,193.09%,615.14%,10.84,0.46%,21.87%,27.96%,118.4,"7,496.20","6,638.27",55.5,74.12%,86.99%
HDFC AMC,https://scanx.trade/company/hdfc-asset-management-company-ltd,"2,647.20",-0.34%,"2,656.00","4,07,924","1,13,302.15",41.43,-3.94,"2,967.25","1,781.53",-1.43%,-8.56%,25.56%,147.90%,83.10%,14.7,1.69%,27.46%,39.50%,96.87,"2,697.38","2,550.92",48.95,76.00%,87.50%
Hero Motocorp,https://scanx.trade/company/hero-motocorp-ltd,"5,637.00",-1.08%,"5,698.50","2,49,826","1,12,778.25",21.5,52.11,"6,388.50","3,344.00",-5.77%,6.82%,32.35%,109.84%,83.43%,5.43,2.89%,20.98%,28.71%,204.1,"5,787.50","4,769.63",36.02,76.00%,90.06%
Solar Industries,https://scanx.trade/company/solar-industries-ltd,"12,437.00",-0.38%,"12,529.00","1,29,532","1,12,542.48",80.8,205.33,"17,820.00","8,482.50",-6.96%,-11.30%,22.18%,202.38%,1059.63%,22.08,0.08%,25.54%,30.18%,102.22,"13,292.92","13,891.23",43.6,74.84%,86.85%
GAIL,https://scanx.trade/company/gail-ltd,171.02,0.01%,170.99,"19,42,413","1,12,447.35",10.25,41.09,202.79,150.52,-5.56%,-2.78%,-13.65%,81.17%,113.51%,1.28,4.39%,12.83%,15.14%,17.17,177.21,180.14,44.65,76.00%,87.50%
